,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,NOH,Anthony Davis,Kentucky,11,650,22351,15578,6738,1530,0.518,0.3,0.794,34.4,24,10.4,2.4,98.3,0.211,6,45.3
2,2,CHA,Michael Kidd-Gilchrist,Kentucky,8,446,10978,3750,2420,515,0.474,0.272,0.715,24.6,8.4,5.4,1.2,21,0.092,-1.8,0.6
3,3,WAS,Bradley Beal,Florida,11,694,24059,15375,2832,2965,0.46,0.372,0.823,34.7,22.2,4.1,4.3,52.3,0.104,1.8,22.6
4,4,CLE,Dion Waiters,Syracuse,8,419,11835,5505,1108,1163,0.412,0.346,0.694,28.2,13.1,2.6,2.8,8.8,0.036,-2.1,-0.4
5,5,SAC,Thomas Robinson,Kansas,5,313,4204,1528,1507,190,0.47,0,0.505,13.4,4.9,4.8,0.6,4.6,0.053,-3.5,-1.6
6,6,POR,Damian Lillard,Weber State,11,768,27908,19346,3246,5139,0.439,0.373,0.895,36.3,25.2,4.2,6.7,103.4,0.178,4.9,48.5
7,7,GSW,Harrison Barnes,UNC,11,818,26093,11630,4149,1489,0.455,0.378,0.81,31.9,14.2,5.1,1.8,50.4,0.093,-0.8,7.7
8,8,TOR,Terrence Ross,Washington,11,722,17753,7955,2018,911,0.418,0.363,0.836,24.6,11,2.8,1.3,24.5,0.066,-1,4.4
9,9,DET,Andre Drummond,UConn,11,776,22003,10278,9897,1034,0.542,0.129,0.475,28.4,13.2,12.8,1.3,70,0.153,1.2,17.9
10,10,NOH,Austin Rivers,Duke,11,707,16858,5996,1442,1513,0.419,0.349,0.653,23.8,8.5,2,2.1,15.1,0.043,-3.1,-4.5
11,11,POR,Meyers Leonard,Illinois,10,453,7209,2526,1750,395,0.483,0.392,0.809,15.9,5.6,3.9,0.9,15.7,0.104,-1.4,1.1
12,12,HOU,Jeremy Lamb,UConn,10,573,11896,5805,2073,904,0.439,0.342,0.857,20.8,10.1,3.6,1.6,26.8,0.108,0.6,7.9
13,13,PHO,Kendall Marshall,UNC,4,160,3083,802,253,779,0.399,0.37,0.611,19.3,5,1.6,4.9,1,0.015,-3.5,-1.1
